product_type,brand,model,processor,ram_gb,storage_gb,gpu,os,weight_kg,battery_wh,battery_mah,display_size_inches,display_resolution,refresh_rate_hz,charging_w,front_camera,back_camera,description,review_text,source_url,price_original,price_currency,price_bdt
Laptop,HP,250 G6,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,No OS,1.86,,,15.6,1920x1080,165,,,,"The HP 250 G6 emerges as a modern solution designed to elevate your digital experience. The core of its performance lies in the Intel Core i3 6006U 2GHz processor, 4 of memory and a spacious 500.0 of internal storage, allowing users to navigate demanding workflows seamlessly. Visuals are presented via a 15.6-inch display featuring a crisp 1920x1080 resolution featuring an ultra-smooth 165.0 refresh rate, which guarantees an immersive viewing experience. Graphics rendering is effectively managed by the Intel HD Graphics 520, providing stability across gaming and design software. Practicality is further enhanced by a surprisingly light 1.86kg frame, offering an excellent balance of longevity and comfort. Ultimately, with No OS at the helm, the HP 250 G6 easily satisfies the rigorous demands of contemporary digital life.",,https://support.hp.com/ca-en/product/product-specs/hp-250-g6-notebook-pc/15747807; https://www.gadgets360.com/hp-probook-250-g6-7803; https://laptopmedia.com/series/hp-250-g6/,379.49,USD,45538.8
Laptop,Apple,MacBook Pro,Intel Core i7 2.8GHz,16,256,AMD Radeon Pro 555,macOS,1.83,,,15.4,2880x1800,120,,,,"Crafted to meet the demands of modern users, the Apple MacBook Pro is a premium piece of engineering. It boasts an impressive architecture featuring the Intel Core i7 2.8GHz processor, 16 of memory and a spacious 256.0 of internal storage to comfortably manage multitasking without bottlenecks. The device incorporates a 15.4-inch display featuring a crisp 2880x1800 resolution featuring an ultra-smooth 120.0 refresh rate, making it fantastic for media consumption and creative work. When it comes to graphical fidelity, the AMD Radeon Pro 555 steps in to accelerate complex visual workloads. Practicality is further enhanced by a surprisingly light 1.83kg frame, offering an excellent balance of longevity and comfort. Running naturally on macOS, the Apple MacBook Pro is an outstanding technological investment.",,https://www.apple.com/macbook-pro/specs/; https://www.apple.com/macbook-pro/; https://www.gadgets360.com/apple-macbook-pro-7330,2683.97,USD,322076.4
Laptop,Dell,Inspiron 3567,Intel Core i3 6006U 2GHz,4,256,AMD Radeon R5 M430,Windows 10,2.2,,,15.6,1920x1080,165,,,,"Crafted to meet the demands of modern users, the Dell Inspiron 3567 is a dynamic piece of engineering. It boasts an impressive architecture featuring the Intel Core i3 6006U 2GHz processor, 4 of memory and a spacious 256.0 of internal storage to comfortably manage multitasking without bottlenecks. Users will appreciate the visual fidelity offered by a 15.6-inch display featuring a crisp 1920x1080 resolution featuring an ultra-smooth 165.0 refresh rate, perfect for streaming and reading. When it comes to graphical fidelity, the AMD Radeon R5 M430 steps in to accelerate complex visual workloads. Practicality is further enhanced by a surprisingly light 2.2kg frame, offering an excellent balance of longevity and comfort. Running naturally on Windows 10, the Dell Inspiron 3567 is an outstanding technological investment.",,https://www.dell.com/support/product-details/en-us/product/inspiron-15-3567-laptop/resources/manuals; https://icecat.biz/en/p/dell/n3567e-p63f002-ti58100/inspiron-laptops-3567-41154188.html; https://www.gadgets360.com/dell-inspiron-15-3567-5358,548.79,USD,65854.8
Laptop,Apple,"MacBook 12""",Intel Core M m3 1.2GHz,8,256,Intel HD Graphics 615,macOS,0.92,,,12,2304x1440,120,,,,"The Apple MacBook 12"" seamlessly blends aesthetics with performance, making it a modern companion for daily tasks. The core of its performance lies in the Intel Core M m3 1.2GHz processor, 8 of memory and a spacious 256.0 of internal storage, allowing users to navigate demanding workflows seamlessly. Its front panel is dominated by a 12.0-inch display featuring a crisp 2304x1440 resolution featuring an ultra-smooth 120.0 refresh rate, providing vibrant colors and sharp contrasts. With the Intel HD Graphics 615 on board, visual performance is consistently maintained at a high tier. For users constantly on the move, it features a surprisingly light 0.92kg frame. Running naturally on macOS, the Apple MacBook 12"" is an outstanding technological investment.",,https://www.apple.com/macbook-pro/; https://www.apple.com/macbook-pro/specs/,1388.64,USD,166636.8
Laptop,Apple,MacBook Pro,Intel Core i5 2.3GHz,8,256,Intel Iris Plus Graphics 640,macOS,1.37,,,13.3,2560x1600,120,,,,"Crafted to meet the demands of modern users, the Apple MacBook Pro is a sophisticated piece of engineering. It boasts an impressive architecture featuring the Intel Core i5 2.3GHz processor, 8 of memory and a spacious 256.0 of internal storage to comfortably manage multitasking without bottlenecks. Its front panel is dominated by a 13.3-inch display featuring a crisp 2560x1600 resolution featuring an ultra-smooth 120.0 refresh rate, providing vibrant colors and sharp contrasts. When it comes to graphical fidelity, the Intel Iris Plus Graphics 640 steps in to accelerate complex visual workloads. For users constantly on the move, it features an overall weight of just 1.37kg. Ultimately, with macOS at the helm, the Apple MacBook Pro easily satisfies the rigorous demands of contemporary digital life.",,https://www.apple.com/macbook-pro/specs/; https://www.apple.com/macbook-pro/; https://www.gadgets360.com/apple-macbook-pro-7330,1670.4,USD,200448
Laptop,Dell,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R5 M430,Windows 10,2.2,,,15.6,1920x1080,165,,,,"For those seeking reliable technology, the Dell Inspiron 3567 stands out as a sophisticated and dependable choice. It boasts an impressive architecture featuring the Intel Core i7 7500U 2.7GHz processor, 8 of memory and a spacious 256.0 of internal storage to comfortably manage multitasking without bottlenecks. Visuals are rendered on a 15.6-inch display featuring a crisp 1920x1080 resolution featuring an ultra-smooth 165.0 refresh rate, which guarantees an immersive viewing experience. When it comes to graphical fidelity, the AMD Radeon R5 M430 steps in to accelerate complex visual workloads. Physical endurance is addressed by a portable chassis weighing 2.2kg, keeping you productive on the go. Coupled with the intuitive Windows 10 environment, the Dell Inspiron 3567 hits all the right notes for its category.",,https://www.dell.com/support/product-details/en-us/product/inspiron-15-3567-laptop/resources/manuals; https://www.gadgets360.com/dell-inspiron-15-3567-5358,819.5,USD,98340
Laptop,Apple,MacBook Pro,Intel Core i7 2.9GHz,16,512,AMD Radeon Pro 560,macOS,1.83,,,15.4,2880x1800,120,,,,"The Apple MacBook Pro emerges as a highly capable solution designed to elevate your digital experience. System operations are equipped with the Intel Core i7 2.9GHz processor, 16 of memory and a spacious 512.0 of internal storage, providing the necessary bandwidth for intensive applications. Visuals are delivered through a 15.4-inch display featuring a crisp 2880x1800 resolution featuring an ultra-smooth 120.0 refresh rate, which guarantees an immersive viewing experience. When it comes to graphical fidelity, the AMD Radeon Pro 560 steps in to accelerate complex visual workloads. Physical endurance is addressed by a portable chassis weighing 1.83kg, keeping you productive on the go. Operating on macOS, this configuration positions the Apple MacBook Pro as a highly capable daily driver.",,https://www.apple.com/macbook-pro/specs/; https://www.apple.com/in/macbook-pro/specs/; https://www.gadgets360.com/apple-macbook-pro-7330,3143.8,USD,377256
Laptop,Lenovo,IdeaPad 320-15IKB,Intel Core i3 7100U 2.4GHz,8,1024,Nvidia GeForce 940MX,No OS,2.2,,,15.6,1920x1080,165,,,,"For those seeking reliable technology, the Lenovo IdeaPad 320-15IKB stands out as a powerful and dependable choice. It boasts an impressive architecture featuring the Intel Core i3 7100U 2.4GHz processor, 8 of memory and a spacious 1024.0 of internal storage to comfortably manage multitasking without bottlenecks. Users will appreciate the visual fidelity offered by a 15.6-inch display featuring a crisp 1920x1080 resolution featuring an ultra-smooth 165.0 refresh rate, perfect for streaming and reading. Graphics rendering is effectively managed by the Nvidia GeForce 940MX, providing stability across gaming and design software. Practicality is further enhanced by an overall weight of just 2.2kg, offering an excellent balance of longevity and comfort. Running naturally on No OS, the Lenovo IdeaPad 320-15IKB is an outstanding technological investment.",,https://www.gadgets360.com/lenovo-ideapad-320-15ikb-8405,548.9,USD,65868
Laptop,Asus,Vivobook E200HA,Intel Atom x5-Z8350 1.44GHz,2,32,Intel HD Graphics 400,Windows 10,0.98,,,11.6,1366x768,165,,,,"The Asus Vivobook E200HA seamlessly blends aesthetics with performance, making it a versatile companion for daily tasks. The core of its performance lies in the Intel Atom x5-Z8350 1.44GHz processor, 2 of memory and a spacious 32.0 of internal storage, allowing users to navigate demanding workflows seamlessly. Visuals are handled by a 11.6-inch display featuring a crisp 1366x768 resolution featuring an ultra-smooth 165.0 refresh rate, which guarantees an immersive viewing experience. When it comes to graphical fidelity, the Intel HD Graphics 400 steps in to accelerate complex visual workloads. Physical endurance is addressed by a surprisingly light 0.98kg frame, keeping you productive on the go. Ultimately, with Windows 10 at the helm, the Asus Vivobook E200HA easily satisfies the rigorous demands of contemporary digital life.",,https://www.asus.com/notebooks/asus-vivobook-e200ha/specifications/; https://www.gadgets360.com/asus-e200ha-fd0006ts-7472; https://www.productindetail.com/pn/asus-vivobook-e200ha-fd0007ts,211.09,USD,25330.8
Laptop,Lenovo,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,8,1152,Nvidia GeForce GTX 1050,Windows 10,2.5,60,,15.6,1920x1080,165,,,,"For those seeking reliable technology, the Lenovo Legion Y520-15IKBN stands out as a versatile and dependable choice. It boasts an impressive architecture featuring the Intel Core i5 7300HQ 2.5GHz processor, 8 of memory and a spacious 1152.0 of internal storage to comfortably manage multitasking without bottlenecks. Visuals are showcased on a 15.6-inch display featuring a crisp 1920x1080 resolution featuring an ultra-smooth 165.0 refresh rate, which guarantees an immersive viewing experience. The inclusion of the Nvidia GeForce GTX 1050 ensures that graphics-heavy tasks are executed with ease. For users constantly on the move, it features an endurance-focused 60.0 battery and a surprisingly light 2.5kg frame. Operating on Windows 10, this configuration positions the Lenovo Legion Y520-15IKBN as a highly capable daily driver.",,https://support.lenovo.com/us/en/solutions/pd104614-product-overview-legion-y520-15ikbn; https://www.gadgets360.com/lenovo-leigon-y-ln-y520-15ikbn-5413; https://www.productindetail.com/pn/lenovo-legion-y520-15ikbn-lenovo-legion-y520-15ikbn-80wk,1098.9,USD,131868
Laptop,HP,255 G6,AMD E-Series E2-9000e 1.5GHz,4,500,AMD Radeon R2,No OS,1.86,,,15.6,1366x768,165,,,,"The HP 255 G6 seamlessly blends aesthetics with performance, making it a sophisticated companion for daily tasks. Under the hood, it is engineered around the AMD E-Series E2-9000e 1.5GHz processor, 4 of memory and a spacious 500.0 of internal storage, ensuring brisk responsiveness. Its front panel is dominated by a 15.6-inch display featuring a crisp 1366x768 resolution featuring an ultra-smooth 165.0 refresh rate, providing vibrant colors and sharp contrasts. The inclusion of the AMD Radeon R2 ensures that graphics-heavy tasks are executed with ease. Practicality is further enhanced by an overall weight of just 1.86kg, offering an excellent balance of longevity and comfort. Running naturally on No OS, the HP 255 G6 is an outstanding technological investment.",,https://support.hp.com/emea_middle_east-en/product/product-specs/hp-255-g6-notebook-pc/15932854; https://www.gadgets360.com/hp-255-g6-7799; https://icecat.biz/en/p/hp/4lt20es/laptops-0192545898447-255+g6-57208862.html,283.8,USD,34056
Laptop,Dell,Inspiron 5379,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.62,42,,13.3,1920x1080,60,,,,"The Dell Inspiron 5379 seamlessly blends aesthetics with performance, making it a reliable companion for daily tasks. The core of its performance lies in the Intel Core i5 8250U 1.6GHz processor, 8 of memory and a spacious 256.0 of internal storage, allowing users to navigate demanding workflows seamlessly. The device incorporates a 13.3-inch display featuring a crisp 1920x1080 resolution featuring an ultra-smooth 60.0 refresh rate, making it fantastic for media consumption and creative work. With the Intel UHD Graphics 620 on board, visual performance is consistently maintained at a high tier. For users constantly on the move, it features an endurance-focused 42.0 battery and a portable chassis weighing 1.62kg. Coupled with the intuitive Windows 10 environment, the Dell Inspiron 5379 hits all the right notes for its category.",,https://www.dell.com/support/product-details/en-us/product/inspiron-13-5379-2-in-1-laptop/resources/manuals; https://laptopmedia.com/series/dell-inspiron-5379/; https://www.productindetail.com/pn/dell-inspiron-13-5379-2-in-1,900.9,USD,108108
Laptop,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Intel Core i7 8550U 1.8GHz,8,256,Intel HD Graphics 620,Windows 10,1.91,,,15.6,1920x1080,,,,,"The HP 15-BS101nv (i7-8550U/8GB/256GB/FHD/W10) seamlessly blends aesthetics with performance, making it a highly capable companion for daily tasks. Moving to performance, it is fueled by the Intel Core i7 8550U 1.8GHz processor, 8 of memory and a spacious 256.0 of internal storage, ensuring brisk responsiveness. The device incorporates a 15.6-inch display featuring a crisp 1920x1080 resolution, making it fantastic for media consumption and creative work. Graphics rendering is effectively managed by the Intel HD Graphics 620, providing stability across gaming and design software. For users constantly on the move, it features an overall weight of just 1.91kg. Operating on Windows 10, this configuration positions the HP 15-BS101nv (i7-8550U/8GB/256GB/FHD/W10) as a highly capable daily driver.",,https://blog.jaynish.me/hp-15-bs101nv-i7-8550u-8gb-256gb-fhd-w10-review-and-specifications/; https://www.crucial.in/compatible-upgrade-for/hp-compaq/hp-15-bs101nv,724.9,USD,86988
Laptop,Dell,Inspiron 3567,Intel Core i3 6006U 2GHz,4,1024,Intel HD Graphics 520,Windows 10,2.3,,,15.6,1366x768,165,,,,"The Dell Inspiron 3567 seamlessly blends aesthetics with performance, making it a premium companion for daily tasks. System operations are powered by the Intel Core i3 6006U 2GHz processor, 4 of memory and a spacious 1024.0 of internal storage, providing the necessary bandwidth for intensive applications. Visuals are delivered through a 15.6-inch display featuring a crisp 1366x768 resolution featuring an ultra-smooth 165.0 refresh rate, which guarantees an immersive viewing experience. The inclusion of the Intel HD Graphics 520 ensures that graphics-heavy tasks are executed with ease. Practicality is further enhanced by a surprisingly light 2.3kg frame, offering an excellent balance of longevity and comfort. Running naturally on Windows 10, the Dell Inspiron 3567 is an outstanding technological investment.",,https://www.dell.com/support/product-details/en-us/product/inspiron-15-3567-laptop/resources/manuals; https://icecat.biz/en/p/dell/n3567e-p63f002-ti58100/inspiron-laptops-3567-41154188.html; https://www.gadgets360.com/dell-inspiron-15-3567-5358,460.5,USD,55260
Laptop,Apple,MacBook Air,Intel Core i5 1.6GHz,8,128,Intel HD Graphics 6000,Mac OS X,1.35,35,,13.3,1440x900,60,,,,"Crafted to meet the demands of modern users, the Apple MacBook Air is a feature-rich piece of engineering. In terms of hardware, it is driven by the Intel Core i5 1.6GHz processor, 8 of memory and a spacious 128.0 of internal storage, ensuring brisk responsiveness. Users will appreciate the visual fidelity offered by a 13.3-inch display featuring a crisp 1440x900 resolution featuring an ultra-smooth 60.0 refresh rate, perfect for streaming and reading. The inclusion of the Intel HD Graphics 6000 ensures that graphics-heavy tasks are executed with ease. It integrates an endurance-focused 35.0 battery and an overall weight of just 1.35kg to maximize mobility without sacrificing runtime. Operating on Mac OS X, this configuration positions the Apple MacBook Air as a highly capable daily driver.",,https://www.apple.com/macbook-air/specs/; https://www.apple.com/macbook-air/; https://www.productindetail.com/pn/apple-macbook-air,1208.9,USD,145068
Laptop,Dell,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 530,Windows 10,2.2,42,,15.6,1920x1080,60,,,,"For those seeking reliable technology, the Dell Inspiron 5570 stands out as a sophisticated and dependable choice. The core of its performance lies in the Intel Core i5 8250U 1.6GHz processor, 8 of memory and a spacious 256.0 of internal storage, allowing users to navigate demanding workflows seamlessly. Users will appreciate the visual fidelity offered by a 15.6-inch display featuring a crisp 1920x1080 resolution featuring an ultra-smooth 60.0 refresh rate, perfect for streaming and reading. Graphics rendering is effectively managed by the AMD Radeon 530, providing stability across gaming and design software. It integrates a substantial 42.0 cell and a portable chassis weighing 2.2kg to maximize mobility without sacrificing runtime. Coupled with the intuitive Windows 10 environment, the Dell Inspiron 5570 hits all the right notes for its category.",,https://www.dell.com/support/product-details/en-us/product/inspiron-15-5570-laptop/resources/manuals; https://icecat.biz/en/p/dell/5570-0187/inspiron-laptops-5397184120187-5570-60168143.html; https://laptopmedia.com/series/dell-inspiron-5570/; https://www.productindetail.com/pn/dell-inspiron-5570,880,USD,105600
Laptop,Dell,Latitude 5590,Intel Core i7 8650U 1.9GHz,8,512,Intel UHD Graphics 620,Windows 10,1.88,,,15.6,1920x1080,165,,,,"For those seeking reliable technology, the Dell Latitude 5590 stands out as a highly capable and dependable choice. System operations are fueled by the Intel Core i7 8650U 1.9GHz processor, 8 of memory and a spacious 512.0 of internal storage, providing the necessary bandwidth for intensive applications. The device incorporates a 15.6-inch display featuring a crisp 1920x1080 resolution featuring an ultra-smooth 165.0 refresh rate, making it fantastic for media consumption and creative work. With the Intel UHD Graphics 620 on board, visual performance is consistently maintained at a high tier. Physical endurance is addressed by an overall weight of just 1.88kg, keeping you productive on the go. Ultimately, with Windows 10 at the helm, the Dell Latitude 5590 easily satisfies the rigorous demands of contemporary digital life.",,https://www.dell.com/support/product-details/en-us/product/latitude-15-5590-laptop/resources/manuals; https://www.gadgets360.com/dell-latitude-5590-8233; https://devicebeast.com/laptops/dell-latitude-15-5590,1427.8,USD,171336
Laptop,HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8,1024,Nvidia GeForce 930MX,Windows 10,2.5,,,17.3,1920x1080,165,,,,"The HP ProBook 470 emerges as a modern solution designed to elevate your digital experience. Furthermore, it is fueled by the Intel Core i5 8250U 1.6GHz processor, 8 of memory and a spacious 1024.0 of internal storage, ensuring brisk responsiveness. Its front panel is dominated by a 17.3-inch display featuring a crisp 1920x1080 resolution featuring an ultra-smooth 165.0 refresh rate, providing vibrant colors and sharp contrasts. The inclusion of the Nvidia GeForce 930MX ensures that graphics-heavy tasks are executed with ease. Physical endurance is addressed by an overall weight of just 2.5kg, keeping you productive on the go. Operating on Windows 10, this configuration positions the HP ProBook 470 as a highly capable daily driver.",,https://www.hp.com/us-en/shop/pdp/hp-probook-470-g5-notebook-pc-customizable-1lr90av-mb; https://www.gadgets360.com/hp-probook-470-g5-8413,985.6,USD,118272
Laptop,Chuwi,"LapBook 15.6""",Intel Atom x5-Z8300 1.44GHz,4,64,Intel HD Graphics,Windows 10,1.89,37,,15.6,1920x1080,,,,,"Presenting the Chuwi LapBook 15.6"": a versatile device built for uncompromised productivity and entertainment. The core of its performance lies in the Intel Atom x5-Z8300 1.44GHz processor, 4 of memory and a spacious 64.0 of internal storage, allowing users to navigate demanding workflows seamlessly. Its front panel is dominated by a 15.6-inch display featuring a crisp 1920x1080 resolution, providing vibrant colors and sharp contrasts. The inclusion of the Intel HD Graphics ensures that graphics-heavy tasks are executed with ease. Physical endurance is addressed by an endurance-focused 37.0 battery and a portable chassis weighing 1.89kg, keeping you productive on the go. Operating on Windows 10, this configuration positions the Chuwi LapBook 15.6"" as a highly capable daily driver.",,https://techtablets.com/chuwi-lapbook/; https://unite4buy.com/specs/CHUWI-Lapbook-15.6/; https://techtablets.com/chuwi-lapbook-plus/,269.49,USD,32338.8
